id	floor	position	fk_office
1	1	1	NULL
2	1	2	NULL
3	1	3	NULL
4	1	4	NULL
5	1	5	NULL
6	1	6	NULL
7	1	7	NULL
8	1	8	NULL
9	1	9	NULL
10	1	10	NULL
11	1	11	NULL
12	1	12	NULL
13	1	13	NULL
14	1	14	NULL
15	1	15	NULL
16	1	16	NULL
17	1	17	NULL
18	1	18	NULL
19	1	19	NULL
20	1	20	NULL
21	1	21	NULL
22	1	22	NULL
23	1	23	NULL
24	1	24	NULL
25	1	25	NULL
26	1	26	NULL
27	1	27	NULL
28	1	28	NULL
29	1	29	NULL
30	1	30	NULL
31	1	31	NULL
32	1	32	NULL
33	1	33	NULL
34	1	34	NULL
35	1	35	NULL
36	1	36	NULL
37	1	37	NULL
38	1	38	NULL
39	1	39	NULL
40	1	40	NULL
41	1	41	NULL
42	1	42	NULL
43	1	43	NULL
44	1	44	NULL
45	1	45	NULL
46	1	46	NULL
47	2	1	NULL
48	2	2	NULL
49	2	3	NULL
50	2	4	NULL
51	2	5	NULL
52	2	6	NULL
53	2	7	NULL
54	2	8	NULL
55	2	9	NULL
56	2	10	NULL
57	2	11	NULL
58	2	12	NULL
59	2	13	NULL
60	2	14	NULL
61	2	15	NULL
62	2	16	NULL
63	2	17	NULL
64	2	18	NULL
65	2	19	NULL
66	2	20	NULL
67	2	21	NULL
68	2	22	NULL
69	2	23	NULL
70	2	24	NULL
71	2	25	NULL
72	2	26	NULL
73	2	27	NULL
74	2	28	NULL
75	2	29	NULL
76	2	30	NULL
77	2	31	NULL
78	2	32	NULL
79	2	33	NULL
80	2	34	NULL
81	2	35	NULL
82	2	36	NULL
83	2	37	NULL
84	2	38	NULL
85	2	39	NULL
86	2	40	NULL
87	2	41	NULL
88	2	42	NULL
89	2	43	NULL
90	2	44	NULL
91	2	45	NULL
92	2	46	NULL
